"qualifying","position","displayName","nflId_def","routes","eps_tracking_w_penalties","eps_tracking","normalized_avg_max_epa","penalties_and_time_to_throw_normalized_tracking_epa","penalities_count","tracking_penalty_perc","penalties_eps"
1,"FS","Kevin Byard",2555158,65,2.55023571139412,2.44637218093021,0.186008281307247,0.186008281307247,0,0,0
1,"CB","Bradley Roby",2543505,144,2.38229310678432,2.88809732427579,0.285618241946097,0.288731769001109,1,0.00689655172413793,-0.737079664922791
1,"DB","J.C. Jackson",2560754,64,2.35055600973039,2.56148593093916,0.162107953607516,0.164440089820934,1,0.0153846153846154,-0.313696807479706
1,"SS","Morgan Burnett",496727,39,2.30532935719891,2.24301123892056,0.0570356237907307,0.0570356237907306,0,0,0
1,"CB","Adoree' Jackson",2558065,169,2.27452027365528,2.0044750944491,0.341903850334786,0.341903850334786,0,0,0
1,"CB","Denzel Ward",2560916,172,2.25901925468816,2.46687482077072,0.334634361106172,0.33549466525473,1,0.00578034682080925,-0.483466978806797
1,"CB","Cameron Sutton",2558849,71,2.23262573838115,2.11917480510518,0.236026195198575,0.236026195198575,0,0,0
1,"CB","William Jackson",2556367,148,2.20840834419618,2.38670978306468,0.322168887350953,0.322794965712852,1,0.00671140939597315,-0.415454563273868
1,"CB","Darryl Roberts",2553353,105,2.20391379894691,2.03613424973597,0.302429193119031,0.302429193119031,0,0,0
1,"FS","Devin McCourty",494287,60,2.15310150770458,2.05722747958404,0.207968691475906,0.207968691475906,0,0,0
1,"SS","Barry Church",494259,50,2.14129318104668,2.0613981576129,0.163306414049359,0.163306414049359,0,0,0
1,"SS","Malcolm Jenkins",79848,174,2.11956197479837,2.38692081413854,0.337834963135542,0.33902599991892,1,0.00571428571428571,-0.546266400226675
1,"FS","Eric Weddle",2495775,52,2.11144338725689,2.02835256288576,0.17790404271943,0.17790404271943,0,0,0
1,"CB","Sam Shields",1037374,82,2.09971535188305,1.96868751345165,0.266780996998914,0.266780996998914,0,0,0
1,"CB","Justin Coleman",2553637,309,2.03704906716671,2.64902469405522,0.367900637319919,0.370286430557439,1,0.0032258064516129,-1.10749654095113
1,"CB","Mike Hilton",2556559,195,2.01268975688788,1.70109916549613,0.356493675442825,0.356493675442825,0,0,0
1,"CB","Phillip Gaines",2543851,74,1.95798614707607,1.83974151239407,0.269673087990454,0.269673087990454,0,0,0
1,"CB","Johnathan Joseph",2495872,182,1.85772876168962,1.56691087639065,0.358053174897528,0.358053174897528,0,0,0
1,"CB","Trae Waynes",2552448,99,1.84376066615127,2.72796804504032,0.247410867082051,0.255377436829047,1,0.01,-1.04406784178165
1,"CB","Terrance Mitchell",2543637,96,1.8184611784831,2.65665389371469,0.248551167785359,0.256227734716148,1,0.0103092783505155,-0.993178160071906
1,"FS","Chuck Clark",2558248,26,1.76633432607661,1.72478891389105,0.00221324585339604,0.00221324585339604,0,0,0
1,"FS","Marcell Harris",2561006,77,1.75143321486571,1.62839487877768,0.289948945520524,0.289948945520524,0,0,0
1,"CB","Quinton Dunbar",2553796,61,1.7284389013431,1.63096697275389,0.251381822647115,0.251381822647115,0,0,0
1,"SS","Tony Jefferson",2540164,51,1.71482904741314,2.12502347142792,0.160418858065802,0.166804539118162,1,0.0192307692307692,-0.492474272788536
1,"CB","Rashaan Melvin",2541200,99,1.61691094885269,1.84073946478446,0.303395123590926,0.304187493057968,1,0.01,-0.382632070295111
1,"CB","Josh Jackson",2560755,137,1.57791924832141,3.46260096191811,0.264148633118378,0.271580124002413,4,0.0283687943262411,-2.10443474712245
