"qualifying","position","displayName","nflId_def","targets","completions","interceptions","completion_perc","interception_perc","e_comp_perc","e_int_perc","completions_saved","completions_saved_per_target","interceptions_created","interceptions_created_per_target","expected_epa","actual_epa","epa_pass_arrived_avg","epa_result_avg","eps_saved_ball_skills","eps_saved_ball_skills_per_target","eps_int_returns","ball_skills_penalties","avg_ball_skills_penalties_eps","PB","eps_saved_ball_skills_per_target_w_penalties","eps_saved_ball_skills_w_penalties","hands_on_ball_plays","hands_on_ball_rate"
1,"SS","Morgan Burnett",496727,9,7,0,0.777777777777778,0,0.738539908888889,0.0608752840555556,-0.35314082,-0.0392378688888889,-0.5478775565,-0.0392378688888889,5.29087926781844,2.21267664551714,0.587875474202049,0.245852960613015,3.0782026223013,0.342022513589033,0,1,-0.719958486597846,1,0.235824413570345,2.49406488362763,1,0.1
1,"CB","Jaire Alexander",2560952,16,12,1,0.75,0.0625,0.680095034375,0.033217902911875,-1.11847945,-0.069904965625,0.46851355341,-0.069904965625,3.02112874007277,0.933835632858594,0.188820546254548,0.0583647270536621,2.08729310721417,0.130455819200886,0.209652709190623,1,0.149381981344853,2,0.131569122856413,2.46757036003013,3,0.176470588235294
1,"ILB","Jayon Brown",2558005,18,14,1,0.777777777777778,0.0555555555555556,0.753678498333333,0.049490541545,-0.43378703,-0.0240992794444444,0.10917025219,-0.0240992794444444,0.30830883630695,-1.90004663025617,0.0171282686837194,-0.105558146125343,2.20835546656312,0.122686414809062,0.00355194168027761,0,0,2,0.122686414809062,2.45283281282664,3,0.166666666666667
1,"DB","J.C. Jackson",2560754,7,5,0,0.714285714285714,0,0.795939481428571,0.0142913329014286,0.57157637,0.0816537671428571,-0.10003933031,0.0816537671428571,4.37123108037103,2.03546563171538,0.624461582910147,0.290780804530768,2.33576544865565,0.333680778379379,0,0,0,0,0.333680778379379,2.43083997220258,0,0
1,"CB","Tre'Davious White",2557867,14,11,1,0.785714285714286,0.0714285714285714,0.749499008571429,0.0208704975128571,-0.507013880000001,-0.0362152771428572,0.70781303482,-0.0362152771428572,0.999846235149276,-1.73087910257749,0.0714175882249483,-0.123634221612678,2.73072533772676,0.195051809837626,-0.352721600608676,1,-0.568811705851096,0,0.144127575458378,2.36564475376194,1,0.0666666666666667
1,"SS","Malcolm Jenkins",79848,21,18,0,0.857142857142857,0,0.857298322380952,0.0131816647371429,0.00326477000000125,0.000155465238095298,-0.27681495948,0.000155465238095298,6.76094771666637,4.70083580692364,0.321949891269827,0.223849324139221,2.06011190974273,0.0981005671306062,0,0,0,2,0.0981005671306062,2.34533548038351,2,0.0952380952380952
1,"OLB","Damien Wilson",2552686,7,5,0,0.714285714285714,0,0.900544692857143,0.0010824224,1.30381285,0.186258978571429,-0.0075769568,0.186258978571429,2.71199350321251,0.60265479729624,0.387427643316072,0.0860935424708915,2.10933870591626,0.301334100845181,0,0,0,0,0.301334100845181,2.20441322946319,0,0
1,"CB","Ryan Smith",2555552,14,11,0,0.785714285714286,0,0.83244999,0.0113088174821429,0.65429986,0.0467357042857143,-0.15832344475,0.0467357042857143,8.59397257721538,6.60338652149314,0.613855184086813,0.471670465820939,1.99058605572223,0.142184718265874,0,0,0,2,0.142184718265874,2.18073510281608,2,0.142857142857143
1,"FS","D.J. Swearinger",2539943,22,17,1,0.772727272727273,0.0454545454545455,0.695451074545455,0.0381661475063636,-1.70007636,-0.0772761981818182,0.16034475486,-0.0772761981818182,7.53053030942812,5.66986693739053,0.342296832246733,0.257721224426842,1.86066337203759,0.0845756078198905,-0.0637303905693529,0,0,3,0.0845756078198905,2.15946901747078,4,0.181818181818182
1,"ILB","Vince Williams",2540221,13,11,0,0.846153846153846,0,0.851881137692308,0.00503233281846154,0.0744547900000008,0.0057272915384616,-0.06542032664,0.0057272915384616,3.08711494431494,1.15601453658337,0.237470380331919,0.0889241951217976,1.93110040773157,0.148546185210121,0,0,0,1,0.148546185210121,2.10766738003301,1,0.0769230769230769
