"nflId_def","Pos","Player","G","Pass Snaps","%Zone","Zone EPS","Zone EPS Per Game","Zone EPS Per Cover","Zone EPS Closing","Zone EPS Ball Skills","Zone EPS Tackling","Zone EPS Ball Hawk","Zone EPS INT Returns","SOS Zone EPS","SOS Zone EPS Per Game","SOS Zone EPS Per Cover","SOS Zone EPS Closing","SOS Zone EPS Ball Skills","SOS Zone EPS Tackling","Covers","Accurate TAR","C","Targeted C%","INT","Ball Hawk INT","PB","Ball Hawk PB","Hands on Ball % of Targets","Hands on Ball % of Plays","T","FF","Penalties"
2556148,"OLB","Jatavis Brown (LAC)",14,380,0.8,-4.65,-0.33,-0.02,0.03,-0.96,-0.96,-2.76,0,-2.72,-0.19,-0.01,0.58,-0.36,-0.19,225,15,12,0.8,0,0,3,0,0.2,0.01,16,0,0
2550164,"CB","T.J. Carrie (CLE)",16,562,0.42,-4.66,-0.29,-0.02,-1.44,-1.93,-1.39,0.15,-0.05,-2.91,-0.18,-0.01,-1.37,-1.22,-0.43,218,20,18,0.9,0,1,2,0,0.1,0.01,13.5,0,0
2555536,"SS","Kavon Frazier (DAL)",6,101,0.88,-4.76,-0.79,-0.1,0.26,-0.6,-3.53,-0.89,0,-4.39,-0.73,-0.09,0.18,-0.02,-3.65,49,7,5,0.71,0,0,1,0,0.14,0.02,2,0,0
2560830,"CB","Isaiah Oliver (ATL)",11,170,0.33,-4.8,-0.44,-0.09,-1.9,-1.5,-0.82,-0.59,0,-4.28,-0.39,-0.08,-1.8,-1.45,-0.43,54,7,7,1,0,0,0,0,0,0,7.5,0,0
494259,"SS","Barry Church (JAX)",11,355,0.88,-4.84,-0.44,-0.03,1.13,-3.19,-2.58,-0.23,0.03,-4.13,-0.38,-0.02,0.99,-2.48,-2.45,168,12,10,0.83,0,1,1,0,0.08,0.01,4,0,0
2543855,"CB","Bene' Benwikere (ARI/OAK)",12,312,0.45,-4.9,-0.41,-0.04,0.56,-1.49,-2.6,-1.38,0,-4.49,-0.37,-0.04,0.77,-1.32,-2.57,109,14,13,0.93,0,0,1,0,0.07,0.01,7.5,1,0
2499257,"FS","Colin Jones (CAR)",7,61,0.86,-4.9,-0.7,-0.17,-1.55,-1.51,-1.3,-0.54,0,-4.6,-0.66,-0.16,-1.44,-1.32,-1.31,29,2,2,1,0,0,0,0,0,0,0,0,0
2561093,"LB","Jermaine Carter (CAR)",6,42,0.7,-4.96,-0.83,-0.22,-0.1,-3.92,-0.7,-0.25,0,-5.04,-0.84,-0.22,-0.18,-3.82,-0.8,23,3,3,1,0,0,0,0,0,0,1.5,0,0
2540155,"CB","Xavier Rhodes (MIN)",13,381,0.3,-5,-0.38,-0.05,-2.43,0.94,-2.31,-1.2,0,-2.29,-0.18,-0.02,-1.25,1.87,-1.73,108,14,14,1,0,0,0,0,0,0,12.5,0,0
2559053,"CB","Torry McTyer (MIA)",13,212,0.46,-5.04,-0.39,-0.06,-0.3,-1.5,-2.64,-0.6,0,-4.83,-0.37,-0.06,-0.3,-1.49,-2.44,87,7,6,0.86,0,0,1,1,0.14,0.02,3.5,0,0
2560728,"CB","Tre Flowers (SEA)",14,514,0.41,-5.12,-0.37,-0.03,-1.66,-1.85,0.61,-2.21,0,-2.28,-0.16,-0.01,-0.92,-0.62,1.47,179,21,20,0.95,0,0,1,0,0.05,0.01,11.5,0,0
2560763,"LB","Josey Jewell (DEN)",15,198,0.76,-5.12,-0.34,-0.06,1.94,-4.59,-1.22,-1.25,0,-4.74,-0.32,-0.05,1.76,-4.45,-0.81,93,8,7,0.88,0,0,0,0,0,0,4.5,0,0
2543720,"OLB","Christian Kirksey (CLE)",7,275,0.76,-5.13,-0.73,-0.04,0.46,1.09,-7.69,1.01,0,-4.15,-0.59,-0.03,0.49,1.46,-7.12,127,8,7,0.88,0,0,1,1,0.12,0.02,4.5,0,1
2558133,"FS","Montae Nicholson (WAS)",10,306,0.92,-5.13,-0.51,-0.03,0.22,-1.17,-1.28,-2.91,0,-4.95,-0.49,-0.03,0.22,-1.07,-1.19,147,2,1,0.5,0,0,1,0,0.5,0.01,1,0,1
2540152,"SS","Eric Reid (CAR)",13,424,0.9,-5.14,-0.4,-0.03,-2,-4.55,-0.34,0.48,1.27,-4.5,-0.35,-0.02,-2.16,-3.76,-0.34,181,14,10,0.71,0,1,4,0,0.29,0.03,9,0,0
494261,"SS","Kurt Coleman (NO)",16,194,0.84,-5.22,-0.33,-0.06,1.12,-3.06,-1.68,-1.59,0,-5.35,-0.33,-0.06,1.17,-3.17,-1.76,91,5,5,1,0,0,0,0,0,0,2.5,0,0
2561039,"CB","Carlton Davis (TB)",13,396,0.34,-5.25,-0.4,-0.04,-2.91,-0.95,-0.02,-1.38,0,-5.21,-0.4,-0.04,-2.99,-0.84,0,118,12,10,0.83,0,0,0,0,0,0,3,0,0
2561017,"DB","Sean Chandler (NYG)",11,105,0.64,-5.25,-0.48,-0.14,-1.42,-2.3,-0.92,-0.6,0,-5.42,-0.49,-0.15,-1.35,-2.51,-0.95,37,3,3,1,0,0,0,0,0,0,2,0,0
2560982,"CB","Tony Brown (GB)",10,167,0.47,-5.37,-0.54,-0.09,-2.34,-2.68,0.49,-0.84,0,-5.37,-0.54,-0.09,-2.37,-2.91,0.75,63,8,8,1,0,0,0,0,0,0,7.5,0,0
2543474,"CB","Darqueze Dennard (CIN)",13,412,0.44,-5.52,-0.42,-0.03,1.04,-4.09,-0.61,-1.85,0,-5.22,-0.4,-0.03,0.88,-3.8,-0.44,167,24,23,0.96,0,0,1,0,0.04,0.01,16.5,0,0
2558982,"MLB","Hardy Nickerson (CIN)",14,296,0.77,-5.53,-0.4,-0.04,-1.53,-3.72,1.66,-1.94,0,-6.4,-0.46,-0.04,-2.01,-4,1.55,153,12,12,1,0,0,0,0,0,0,5.5,0,0
2532928,"SS","Eddie Pleasant (GB)",5,56,0.87,-5.55,-1.11,-0.2,3.27,-7.51,-0.87,-0.44,0,-5.49,-1.1,-0.2,3.22,-7.43,-0.83,28,5,4,0.8,0,0,0,0,0,0,2,0,0
2552454,"SS","Landon Collins (NYG)",12,436,0.79,-5.63,-0.47,-0.02,0.91,-3.57,0.42,-3.39,0,-4.77,-0.4,-0.02,1.07,-3.68,1.23,228,11,10,0.91,0,0,1,0,0.09,0,12,0,1
2558157,"CB","Ahkello Witherspoon (SF)",12,360,0.35,-5.69,-0.47,-0.05,0.19,-2.89,-1.65,-1.35,0,-3.48,-0.29,-0.03,0.85,-1.82,-1.16,108,11,11,1,0,0,0,0,0,0,7,0,0
2556559,"CB","Mike Hilton (PIT)",15,413,0.51,-5.74,-0.38,-0.04,-3.04,-4.41,0.36,1.54,-0.19,-4.84,-0.32,-0.03,-2.71,-4,0.52,158,15,14,0.93,0,1,1,0,0.07,0.01,14,0,0
2557881,"FS","Tedric Thompson (SEA)",13,406,0.98,-5.77,-0.44,-0.04,-0.36,-2.53,-1.31,-0.17,-1.39,-4.55,-0.35,-0.03,-0.22,-1.93,-0.84,157,12,8,0.67,0,1,2,0,0.17,0.02,7,0,0
2558065,"CB","Adoree' Jackson (TEN)",16,537,0.45,-5.82,-0.36,-0.03,4.74,-7.81,-2.07,-0.67,0,-2.21,-0.14,-0.01,4.62,-4.92,-1.24,205,28,23,0.82,0,0,3,1,0.11,0.02,19,0,0
2560808,"CB","Quenton Meeks (JAX)",2,28,0.32,-5.88,-2.94,-0.98,-0.63,-4.66,-0.5,-0.09,0,-5.97,-2.99,-1,-0.69,-4.68,-0.52,6,2,2,1,0,0,0,0,0,0,2,0,0
2557958,"CB","Sidney Jones (PHI)",9,227,0.56,-5.93,-0.66,-0.05,-0.24,-4.51,0.16,-1.32,0,-5.14,-0.57,-0.04,-0.19,-4.09,0.47,119,8,8,1,0,0,0,0,0,0,6,0,1
2539320,"SS","Kenny Vaccaro (TEN)",13,417,0.9,-5.97,-0.46,-0.03,1.41,-5.22,0.71,-2.87,0,-4.77,-0.37,-0.03,1.52,-3.62,0.21,173,13,12,0.92,0,0,1,1,0.08,0.01,7,0,0
2552261,"CB","Kevin Johnson (HOU)",1,41,0.61,-6,-6,-0.26,-1.9,-2.21,-1.62,-0.27,0,-5.72,-5.72,-0.25,-1.77,-1.99,-1.69,23,4,3,0.75,0,0,0,0,0,0,0,0,0
2561318,"ILB","Tae Davis (NYG)",11,200,0.87,-6.08,-0.55,-0.06,-0.61,-4.49,0.43,-1.41,0,-4.74,-0.43,-0.05,-0.41,-4.39,1.47,104,12,11,0.92,0,0,1,0,0.08,0.01,5,0,1
2552490,"ILB","Benardrick McKinney (HOU)",16,522,0.8,-6.11,-0.38,-0.02,-0.54,-3.84,0.85,-2.58,0,-6.68,-0.42,-0.03,-0.82,-4.17,0.88,255,17,15,0.88,0,0,2,2,0.12,0.02,8,0,0
2535609,"CB","DeShawn Shead (DET)",12,176,0.33,-6.13,-0.51,-0.13,-0.43,-5.56,0.46,-0.59,0,-6,-0.5,-0.12,-0.27,-5.47,0.33,49,4,4,1,0,0,0,0,0,0,0,0,0
2556735,"CB","Ken Crawley (NO)",9,251,0.41,-6.3,-0.7,-0.07,1.71,-7.31,0.4,-1.09,0,-6.31,-0.7,-0.07,1.47,-6.58,-0.11,95,10,10,1,0,0,0,0,0,0,8,0,0
2495170,"CB","Davon House (GB)",2,19,0.42,-6.3,-3.15,-0.79,-0.07,-4.97,-1.17,-0.09,0,-5.96,-2.98,-0.75,0.04,-4.79,-1.13,8,2,2,1,0,0,0,0,0,0,0,0,0
2558067,"CB","Marlon Humphrey (BAL)",14,469,0.36,-6.39,-0.46,-0.05,1.53,-4.87,-1.46,-1.59,0,-5.64,-0.4,-0.04,2.1,-4.91,-1.23,134,23,17,0.74,0,0,5,0,0.22,0.04,9.5,1,0
2495272,"SS","Chris Conte (TB)",3,82,0.89,-6.43,-2.14,-0.14,-0.14,-0.9,-4.6,-0.79,0,-6.69,-2.23,-0.15,-0.18,-0.88,-4.84,46,4,4,1,0,0,0,0,0,0,4,0,0
2556277,"SS","Marqui Christian (LA)",16,274,0.61,-6.44,-0.4,-0.05,-2.63,-1.05,-1.09,-1.67,0,-5.83,-0.36,-0.05,-2.83,-0.64,-0.69,123,11,10,0.91,0,0,0,0,0,0,9,0,0
2561132,"LB","Foye Oluokun (ATL)",16,273,0.73,-6.45,-0.4,-0.04,-2.18,-0.1,-2.32,-1.85,0,-6.89,-0.43,-0.05,-2.7,-0.42,-1.93,151,11,10,0.91,0,0,0,0,0,0,9.5,0,0
