"gameId","playId","nflId_def","targetNflId","eps_ball_skills"
2018120910,4249,2495507,2558985,-0.47
2018120213,2613,2495507,2530747,-0.483
2018091610,4725,2495507,2558052,-0.89
2018120213,3258,2495507,2541966,-0.96
2018112507,2699,2495507,2543468,-1.798
2018102809,3099,2495507,2506106,-2.216
2018112507,366,2495507,2543468,-3.604
2018091001,2416,2495617,2557898,2.038
2018091611,744,2495617,497328,1.523
2018100708,400,2495617,2552469,0.159
2018100708,2300,2495617,2540154,0.121
2018101407,1538,2495617,2530747,0.038
2018101407,3490,2495617,2560835,-0.027
2018100708,1622,2495617,2552469,-0.143
2018091611,3837,2495617,497322,-0.251
2018092306,1632,2495617,2649,-0.255
2018100708,3472,2495617,2553913,-0.928
2018091300,3530,2495775,2540148,0.947
2018112500,3676,2495775,2556885,-0.388
2018110400,3517,2495775,2558149,-0.753
2018122311,543,2495807,2540169,2.023
2018092311,1028,2495807,2550617,2.009
2018121600,1603,2495807,2561061,0.495
2018092311,2414,2495807,2550284,0.455
2018111807,3826,2495807,71265,-0.022
2018111105,650,2495807,2540258,-0.064
2018111105,2520,2495807,2540258,-0.085
2018100710,2840,2495807,2540230,-0.105
2018091609,1186,2495807,2540169,-0.372
2018122311,148,2495807,2557889,-0.898
2018092303,2156,2495872,2543590,2.063
2018111806,454,2495872,2532841,2.057
2018122310,367,2495872,2533039,1.588
2018101403,2601,2495872,2543471,1.543
2018093004,5026,2495872,2556855,1.511
2018100712,2777,2495872,2539336,1.228
2018120904,3598,2495872,2532865,0.663
2018093004,1362,2495872,2532865,0.493
2018090905,1489,2495872,2530515,0.297
2018093004,4762,2495872,2543759,0.293
2018100712,975,2495872,2560735,0.189
2018101403,1420,2495872,2543471,0.121
2018090905,882,2495872,2552424,0.031
2018093004,5002,2495872,2556855,-0.051
2018092303,2066,2495872,2532835,-0.062
2018122310,1390,2495872,2552600,-0.12
2018090905,2123,2495872,2552424,-0.163
2018093004,4420,2495872,2543759,-0.298
