"qualifying","position","displayName","nflId_def","qualifying_routes","distinct_routes","route_normalized_eps_per_route"
0,"CB","Greg Mabin",2558971,33,5,0.0430318904608359
0,"SS","Jordan Richards",2552392,90,7,0.0418009283255726
0,"FS","Ron Parker",2530794,75,8,0.0405895350794056
0,"CB","KeiVarae Russell",2555547,42,6,0.039516607483594
0,"SS","Sharrod Neasman",2556443,54,7,0.0388464298717898
0,"FS","Jermaine Whitehead",2552697,32,5,0.0323838339489515
0,"FS","Chuck Clark",2558248,46,7,0.0263901722258925
0,"DB","Keion Crossen",2561157,14,3,0.0257053674716137
0,"SS","Kenny Vaccaro",2539320,56,6,0.0247694431175501
0,"DB","Natrell Jamerson",2560759,15,3,0.0209063525214373
0,"FS","Antoine Bethea",2495807,103,9,0.0192959290824205
0,"FS","D.J. Swearinger",2539943,90,9,0.0156768401176619
0,"CB","Sidney Jones",2557958,77,8,0.010380991621753
0,"CB","Tyler Patmon",2550659,60,6,0.0102124625247285
0,"CB","E.J. Gaines",2543823,52,6,0.008254993821207
0,"FS","Ibraheim Campbell",2552605,6,2,0.00667048890605423
0,"CB","Lenzy Pipkins",2558988,16,2,0.00196890451931839
0,"FS","Jimmie Ward",2543741,89,8,0.00185609494103288
0,"CB","Jamar Taylor",2539932,74,7,-0.00208487623566383
0,"CB","Torry McTyer",2559053,101,8,-0.00517073954298701
0,"FS","Ha Ha Clinton-Dix",2543470,32,6,-0.00678450442380295
0,"DB","Ronnie Harrison",2561008,13,3,-0.00882056190795001
0,"DB","Kevin Toliver",2560901,43,5,-0.00932870585920913
0,"CB","DeVante Bausby",2553790,52,8,-0.00956333063720324
0,"CB","Bashaud Breeland",2543571,87,9,-0.00961512334410388
0,"CB","Marcus Sherels",2508007,6,1,-0.010377770565021
0,"FS","Kevin Byard",2555158,83,8,-0.0112883538897343
0,"SS","Kurt Coleman",494261,32,6,-0.011709093596642
0,"FS","Marcus Maye",2557995,3,1,-0.013259909571057
0,"CB","Lafayette Pitts",2556652,24,5,-0.0157167364385079
0,"SS","Kavon Frazier",2555536,18,4,-0.0173766216768536
0,"SS","Jahleel Addae",2541958,8,2,-0.0200626680187636
0,"CB","David Amerson",2540170,74,7,-0.022034476892536
0,"SS","Rayshawn Jenkins",2558182,17,4,-0.0221292714331431
0,"CB","Donte' Deayon",2556512,22,4,-0.0223756475579754
0,"SS","John Johnson",2558183,79,8,-0.0243656594416046
0,"SS","Eric Reid",2540152,52,8,-0.0254556855832903
0,"CB","Adam Jones",2506345,28,5,-0.0259341623865727
0,"FS","Will Parks",2556278,89,8,-0.027722861386659
0,"CB","Troy Hill",2553536,101,7,-0.0309947826965684
0,"CB","Avonte Maddox",2560795,109,7,-0.0316232658725029
0,"CB","LeShaun Sims",2555551,62,7,-0.0354344159308009
0,"FS","Darian Stewart",494307,34,8,-0.0369898090155593
0,"FS","DeAndre Houston-Carson",2555381,3,1,-0.0399706200489258
0,"CB","Sherrick McManis",494289,77,8,-0.040471610119896
0,"SS","Justin Evans",2557945,25,5,-0.04097030371407
0,"FS","Eric Murray",2555173,35,6,-0.0435692575825909
0,"FS","Clayton Fejedelem",2555355,9,3,-0.0565439534906191
0,"CB","Deante Burton",2559109,11,3,-0.0592600886420999
0,"FS","Andrew Adams",2556456,51,8,-0.0603547829691157
0,"SS","Barry Church",494259,33,5,-0.0653996785681799
0,"DB","Jordan Whitehead",2560930,58,7,-0.0685448630537669
0,"SS","Karl Joseph",2555342,38,7,-0.0688757279184821
0,"FS","Jaquiski Tartt",2552391,51,7,-0.0692551379678422
0,"CB","Cordrea Tankersley",2557931,3,1,-0.0694636220077986
0,"FS","Devin McCourty",494287,123,9,-0.0725471610460382
0,"FS","Mike Adams",2505708,89,9,-0.0750938870982531
0,"DB","Tarvarius Moore",2561117,40,6,-0.0789557305906152
0,"FS","Tre Boston",2543830,33,6,-0.0812179704554112
0,"SS","Erik Harris",2555568,29,7,-0.0827064748649492
0,"DB","Tyvis Powell",2556655,8,2,-0.0834045139750631
0,"SS","Shawn Williams",2539233,69,8,-0.0840075214238452
0,"CB","Javien Elliott",2556934,80,8,-0.0849792544621248
0,"S","Maurice Smith",2559058,3,1,-0.0889806074826831
0,"FS","Corey Graham",2495613,56,9,-0.0952582934678076
0,"FS","Eric Weddle",2495775,47,8,-0.100850725278593
0,"CB","Tony McRae",2556817,37,6,-0.103694625460728
0,"CB","Chandon Sullivan",2560887,23,4,-0.103832295701746
0,"DB","Justin Hardee",2559181,22,4,-0.104840414275711
0,"FS","Marcus Gilchrist",2495153,85,10,-0.106704897210861
0,"FS","Jordan Poyer",2539290,40,7,-0.111120815500103
0,"CB","Vontae Davis",79901,9,2,-0.113881247638046
0,"FS","Reggie Nelson",2507167,21,4,-0.116702005178054
0,"CB","Leon Hall",2495617,87,8,-0.124934365563822
0,"FS","Rontez Miles",2540287,3,1,-0.125461485328484
0,"FS","Clayton Geathers",2552386,63,9,-0.132204496902551
0,"CB","Marcus Williams",2550605,5,1,-0.13224835057145
0,"FS","Marcus Williams",2550605,5,1,-0.13224835057145
0,"DB","Isaiah Johnson",2556567,20,5,-0.145049001565968
0,"S","Isaiah Johnson",2556567,20,5,-0.145049001565968
0,"SS","T.J. McDonald",2539309,79,8,-0.15771187707097
0,"CB","Artie Burns",2555344,99,8,-0.159784378525508
0,"FS","Curtis Riley",2553822,30,6,-0.173508248050571
