"qualifying","position","displayName","nflId_def","targets","closing_penalties","eps_saved_closing_w_penalties","eps_saved_closing","eps_saved_closing_per_target","eps_saved_closing_per_target_w_penalties","epa_pass_attempt_avg"
1,"CB","Kareem Jackson",496735,36,0,-1.85539602077362,-2.72332149309307,-0.0756478192525853,-0.0756478192525853,0.178314743639911
1,"CB","Rashaan Melvin",2541200,32,1,-1.89089784708558,-2.01762741201421,-0.0630508566254441,-0.0857452665290179,0.288726433950239
1,"CB","Daryl Worley",2555394,19,0,-1.8996245321981,-2.35769630925558,-0.124089279434504,-0.124089279434504,0.354308567159566
1,"CB","Ronald Darby",2552689,37,0,-2.06765512359157,-2.95968963680878,-0.0799916118056427,-0.0799916118056427,0.292264323673524
1,"SS","Patrick Chung",71251,27,0,-2.11870558101017,-2.76964968524975,-0.102579617972213,-0.102579617972213,0.329629541716414
1,"CB","M.J. Stewart",2560884,28,0,-2.19925972386556,-2.87431286900291,-0.102654031035818,-0.102654031035818,0.313561714218052
1,"CB","Fabian Moreau",2558136,30,2,-2.25620675491521,0.0455997739016922,0.00151999246338974,-0.106371732148881,0.309265693367121
1,"CB","Troy Hill",2553536,17,0,-2.31027635111415,-2.72013004637612,-0.16000764978683,-0.16000764978683,0.435425931841649
1,"CB","Byron Jones",2552568,50,0,-2.52916850340725,-3.73462054829537,-0.0746924109659075,-0.0746924109659075,0.207776134004344
1,"CB","Taron Johnson",2560766,17,1,-2.59199974159042,-0.182158135997142,-0.0107151844704201,-0.213755344359578,0.353691420941899
1,"CB","Briean Boddy-Calhoun",2556475,21,0,-2.60920776187611,-3.11549762072912,-0.14835702955853,-0.14835702955853,0.0670590835985943
1,"CB","Adoree' Jackson",2558065,45,0,-2.6168056527363,-3.70171249313561,-0.0822602776252358,-0.0822602776252358,0.262444532701642
1,"CB","Tre'Davious White",2557867,26,0,-2.69781273585376,-3.32464779919559,-0.12787106919983,-0.12787106919983,0.264205438455643
1,"FS","Vonn Bell",2555530,12,0,-3.24886787914432,-3.53817636991747,-0.294848030826456,-0.294848030826456,-0.188904810074016
1,"CB","Jimmy Smith",2508107,31,0,-3.39311968819351,-4.14049995602415,-0.133564514710456,-0.133564514710456,0.239638337807545
1,"CB","James Bradberry",2555175,54,2,-3.42705933152197,-1.00341948586798,-0.0185818423308885,-0.0916691417889182,0.229494180305692
1,"CB","Chris Harris",2530510,39,0,-3.48014572253397,-4.42039831754671,-0.113343546603762,-0.113343546603762,0.219764398006276
1,"CB","Dre Kirkpatrick",2533060,40,0,-3.57894823124819,-4.54330986715869,-0.113582746678967,-0.113582746678967,0.266924375216643
1,"CB","Xavier Rhodes",2540155,37,0,-4.03812234989761,-4.93015686311482,-0.133247482786887,-0.133247482786887,0.159357023780434
1,"CB","Shareece Wright",2495251,23,0,-4.10510821992082,-4.65961616056936,-0.202592006981277,-0.202592006981277,0.167455791322176
1,"CB","Marcus Peters",2552488,31,0,-4.17421779620494,-4.92159806403558,-0.158761227872116,-0.158761227872116,0.328333548924012
1,"CB","Tavon Young",2555378,25,0,-4.33849522359855,-4.94122124604261,-0.197648849841704,-0.197648849841704,0.125895966769491
1,"CB","Josh Norman",2532920,40,0,-4.44692713362634,-5.41128876953684,-0.135282219238421,-0.135282219238421,0.0826209357907002
1,"CB","Artie Burns",2555344,12,2,-4.50812943055255,-3.32703863608928,-0.277253219674107,-0.431081671641962,0.608795896581711
1,"CB","Jason McCourty",89756,41,0,-4.71177897733373,-5.70024965414199,-0.139030479369317,-0.139030479369317,0.061246966448629
1,"CB","K'Waun Williams",2550654,18,0,-4.77747411876293,-5.21143685492266,-0.289524269717926,-0.289524269717926,0.343783380723764
1,"CB","B.W. Webb",2539338,33,3,-4.85127555991878,-2.97191392858618,-0.0900579978359447,-0.178255787088217,0.201238175794688
1,"CB","Ken Crawley",2556735,27,2,-4.98051562851614,-3.0529916859571,-0.113073766146559,-0.221113935876055,0.389544695232248
1,"CB","Jalen Mills",2555383,28,2,-5.14662822501811,-4.15735901657543,-0.148477107734837,-0.216252501002129,0.0651299685222599
1,"CB","Steven Nelson",2552265,54,1,-5.61695660340247,-6.02838583708774,-0.111636774760884,-0.130788308454035,0.291174480730556
1,"CB","Casey Hayward",2532861,34,0,-6.2309192108818,-7.05062660140573,-0.20737137062958,-0.20737137062958,0.166822968269397
1,"CB","Donte Jackson",2560753,31,0,-7.32689864734523,-8.07427891517587,-0.260460610166964,-0.260460610166964,0.304509006415614
1,"CB","Isaiah Oliver",2560830,16,0,-7.73993651263418,-8.12568116699838,-0.507855072937399,-0.507855072937399,0.337377142433535
1,"DB","J.C. Jackson",2560754,21,1,-7.95825360949468,-6.64143359126701,-0.316258742441286,-0.443207306181431,0.0439936735559763
0,"OLB","Tahir Whitehead",2532986,19,0,5.7221048459465,5.26403306888901,0.27705437204679,0.27705437204679,0.30249884848151
0,"ILB","Mason Foster",2495281,11,0,5.3531877347888,5.08798828491341,0.462544389537583,0.462544389537583,0.37604154741073
0,"ILB","Darron Lee",2555322,9,0,5.0248060725212,4.80782470444134,0.534202744937927,0.534202744937927,0.206075896031876
0,"OLB","Myles Jack",2555329,10,0,4.41870712213246,4.17761671315483,0.417761671315483,0.417761671315483,0.42158422080092
0,"OLB","Kiko Alonso",2539935,16,0,4.0617882935588,3.6760436391946,0.229752727449662,0.229752727449662,0.418134621126324
0,"OLB","Thomas Davis",2506352,21,0,3.91491209117572,3.40862223232271,0.16231534439632,0.16231534439632,0.224399059495654
0,"MLB","Joe Schobert",2555166,16,0,3.49849423754503,3.11274958318083,0.194546848948802,0.194546848948802,0.19683318356976
0,"OLB","Nick Vigil",2555528,19,0,3.38840719644814,2.93033541939065,0.154228179967929,0.154228179967929,0.162255456367506
0,"DB","Justin Hardee",2559181,7,0,3.36868493447856,3.19992164819423,0.457131664027747,0.457131664027747,0.697127103175892
0,"ILB","Zach Brown",2532804,11,0,3.31179296628569,3.0465935164103,0.276963046946391,0.276963046946391,0.16151699023468
0,"OLB","Telvin Smith",2543711,19,0,3.10392934270134,2.64585756564385,0.139255661349676,0.139255661349676,0.0788887221941363
0,"FS","Chuck Clark",2558248,5,0,3.07499912789879,2.95445392340998,0.590890784681995,0.590890784681995,0.384295289318796
0,"CB","Josh Robinson",2533542,2,0,3.02635029265756,2.97813221086203,1.48906610543102,1.48906610543102,0.447751573784567
0,"CB","Sidney Jones",2557958,13,0,2.87487006377256,2.56145253210164,0.197034810161665,0.197034810161665,0.431998218277224
0,"S","Brandon Wilson",2558786,3,0,2.86871429232336,2.79638716963007,0.932129056543356,0.932129056543356,0.397164312587098
0,"ILB","Demario Davis",2533008,14,0,2.77380096331694,2.43627439074827,0.174019599339162,0.174019599339162,0.183596398373239
0,"ILB","Terrance Smith",2556775,3,0,2.72163626788599,2.64930914519271,0.883103048397568,0.883103048397568,0.730143274011719
0,"ILB","Cory Littleton",2556593,19,0,2.65007612812569,2.1920043510682,0.115368650056221,0.115368650056221,0.351054504124315
0,"ILB","Christian Jones",2550572,10,0,2.62539808674413,2.3843076777665,0.23843076777665,0.23843076777665,0.12342326339575
0,"MLB","Jordan Hicks",2552315,11,0,2.61396026748654,2.34876081761115,0.213523710691923,0.213523710691923,0.0760461220157046
0,"LB","Tremaine Edmunds",2560713,22,0,2.54266699173314,2.01226809198236,0.0914667314537436,0.0914667314537436,0.237415544824064
0,"LB","Darius Leonard",2560789,29,0,2.5016085705669,1.80244638453178,0.0621533236045443,0.0621533236045443,0.382117153510821
0,"ILB","Jon Bostic",2539978,17,0,2.42947576874232,2.01962207348036,0.118801298440021,0.118801298440021,0.164362771932686
0,"CB","Jamar Taylor",2539932,17,0,2.42074680186182,2.01089310659985,0.118287829799991,0.118287829799991,0.339406745836642
0,"OLB","Nigel Bradham",2532800,8,0,2.4141146362469,2.2212423090648,0.2776552886331,0.2776552886331,0.381082086051992
0,"OLB","Kyle Van Noy",2543699,12,0,2.3142804896534,2.02497199888025,0.168747666573355,0.168747666573355,0.0990147270741371
0,"CB","Chandon Sullivan",2560887,4,0,2.27747821529471,2.18104205170366,0.545260512925914,0.545260512925914,0.0441755341325684
0,"LB","Jerome Baker",2560966,15,0,2.2502737499392,1.88863813647276,0.125909209098184,0.125909209098184,0.30272748544306
0,"CB","Bashaud Breeland",2543571,14,0,2.23839347629865,1.90086690372998,0.135776207409284,0.135776207409284,0.36494275051397
0,"S","Terrell Edmunds",2560712,7,0,2.22667085649939,2.05790757021505,0.293986795745007,0.293986795745007,0.217719904892808
0,"LB","Alec Ogletree",2540143,9,0,2.18714005747853,1.97015868939867,0.218906521044297,0.218906521044297,0.607513920486274
0,"FS","Adrian Amos",2552385,6,0,2.16226099495866,2.01760674957208,0.336267791595347,0.336267791595347,0.0628923221293463
0,"MLB","Marquel Lee",2557972,6,0,2.15225179910092,2.00759755371435,0.334599592285725,0.334599592285725,0.404263862438883
0,"CB","Mike Tyson",2558853,3,0,2.14571818614892,2.07339106345563,0.69113035448521,0.69113035448521,-0.223915674365949
0,"ILB","Brandon Marshall",2532898,3,0,2.08970432337471,2.01737720068143,0.672459066893809,0.672459066893809,0.0991632511113412
0,"OLB","Alex Anzalone",2558163,11,0,2.04423806102852,1.77903861115313,0.161730782832103,0.161730782832103,0.38574282118941
0,"LB","Leighton Vander Esch",2560908,19,0,2.01980782510962,1.56173604805213,0.0821966341080069,0.0821966341080069,0.190672458000665
0,"ILB","Jayon Brown",2558005,12,0,1.99060704139077,1.70129855061762,0.141774879218135,0.141774879218135,0.21111705202513
0,"CB","Leon Hall",2495617,10,0,1.92206772806116,1.68097731908354,0.168097731908354,0.168097731908354,0.57345470108073
0,"ILB","Danny Trevathan",2532961,17,0,1.85548003054626,1.44562633528429,0.0850368432520173,0.0850368432520173,0.244750224219247
0,"CB","E.J. Gaines",2543823,11,0,1.81286662771302,1.54766717783764,0.140697016167058,0.140697016167058,0.189085004044019
0,"CB","Tre Herndon",2561340,4,0,1.80820700908923,1.71177084549818,0.427942711374544,0.427942711374544,0.191217129985127
0,"FS","Duron Harmon",2541243,5,0,1.80098907359272,1.68044386910391,0.336088773820781,0.336088773820781,0.549730137606013
0,"ILB","Vince Williams",2540221,10,0,1.76332862946917,1.52223822049155,0.152223822049155,0.152223822049155,0.235951124284492
0,"OLB","Matt Milano",2557969,12,0,1.72856017916787,1.43925168839472,0.11993764069956,0.11993764069956,0.212287728500805
0,"ILB","Wesley Woodyard",2354,7,0,1.70369117748155,1.53492789119721,0.219275413028173,0.219275413028173,0.519519862151973
0,"LB","Ja'Whaun Bentley",2561143,2,0,1.68313986099691,1.63492177920138,0.81746088960069,0.81746088960069,0.632613560686002
0,"MLB","Jaylon Smith",2555310,12,0,1.67362318678315,1.38431469601,0.115359558000833,0.115359558000833,0.209028284971161
0,"OLB","De'Vondre Campbell",2555255,14,0,1.6513097053784,1.31378313280972,0.0938416523435517,0.0938416523435517,0.231064222860819
0,"ILB","Josh Bynes",2530491,9,0,1.64210794738619,1.42512657930633,0.158347397700703,0.158347397700703,0.528807514992437
0,"MLB","Preston Brown",2543814,8,0,1.60743526532088,1.41456293813878,0.176820367267348,0.176820367267348,0.127605082229011
0,"OLB","Reuben Foster",2557837,8,0,1.60507366204124,1.41220133485914,0.176525166857392,0.176525166857392,0.443385628677864
0,"ILB","Gerald Hodges",2539293,9,0,1.58160995160884,1.36462858352897,0.151625398169886,0.151625398169886,0.0630453896475608
0,"ILB","Todd Davis",2550930,11,0,1.53362850932179,1.2684290594464,0.115311732676946,0.115311732676946,-0.0341032596592765
0,"FS","Glover Quin",71441,6,0,1.47011938242043,1.32546513703385,0.220910856172309,0.220910856172309,0.518243307046881
0,"MLB","Hardy Nickerson",2558982,11,0,1.4697987004012,1.20459925052581,0.109509022775074,0.109509022775074,0.424576703739913
0,"ILB","Blake Martinez",2555161,5,0,1.44552829688089,1.32498309239208,0.264996618478415,0.264996618478415,-0.0137469812253954
0,"SS","Tavon Wilson",2534830,7,0,1.44538108819975,1.27661780191542,0.182373971702202,0.182373971702202,-0.0469071127831833
0,"MLB","Luke Kuechly",2533056,11,0,1.44258022907935,1.17738077920396,0.107034616291269,0.107034616291269,0.231664806668247
0,"ILB","C.J. Mosley",2543464,15,0,1.43502909114636,1.07339347767992,0.0715595651786614,0.0715595651786614,0.560399114273074
0,"ILB","Haason Reddick",2557887,15,0,1.42698405470954,1.0653484412431,0.0710232294162065,0.0710232294162065,0.0998903242877257
0,"ILB","Deone Bucannon",2543769,5,0,1.41651141317882,1.29596620869001,0.259193241738002,0.259193241738002,0.33049964978364
0,"OLB","Mychal Kendricks",2532890,4,0,1.4095309672665,1.31309480367545,0.328273700918862,0.328273700918862,0.0319383517442117
0,"LB","Nate Gerry",2558175,3,0,1.38954695229333,1.31721982960004,0.439073276533348,0.439073276533348,0.232610574327163
0,"OLB","Jatavis Brown",2556148,16,0,1.36828346684864,0.982538812484435,0.0614086757802772,0.0614086757802772,0.274515764334064
0,"ILB","Zaire Franklin",2561155,5,0,1.3506002001091,1.23005499562028,0.246010999124057,0.246010999124057,0.442143819865337
0,"LB","Kenny Young",2560947,5,0,1.34435335639092,1.22380815190211,0.244761630380422,0.244761630380422,0.0105183880294166
0,"LB","Fred Warner",2560917,14,0,1.33693224873951,0.999405676170833,0.071386119726488,0.071386119726488,0.379896525914666
0,"OLB","Shaq Thompson",2552447,12,0,1.33434065367246,1.04503216289931,0.0870860135749427,0.0870860135749427,0.251415598731654
0,"ILB","Dylan Cole",2559152,3,0,1.33103114522656,1.25870402253327,0.419568007511091,0.419568007511091,-0.171309113046804
0,"FS","Ron Parker",2530794,9,0,1.32226435098891,1.10528298290905,0.122809220323228,0.122809220323228,0.748897332051493
0,"CB","Tyler Patmon",2550659,8,0,1.30753645948709,1.11466413230499,0.139333016538123,0.139333016538123,-0.0666003737096304
0,"FS","Andrew Adams",2556456,10,0,1.28785396630732,1.04676355732969,0.104676355732969,0.104676355732969,-0.174928604895785
0,"MLB","Eric Kendricks",2552312,22,0,1.25372568790498,0.723326788154207,0.0328784903706458,0.0328784903706458,0.217008612818876
0,"MLB","Jarrad Davis",2557855,5,0,1.25128364068578,1.13073843619697,0.226147687239394,0.226147687239394,-0.0575594685385408
0,"FS","Will Parks",2556278,12,0,1.21160252688675,0.922294036113602,0.0768578363428001,0.0768578363428001,0.0312939407483493
0,"SS","Kavon Frazier",2555536,2,0,1.19178088502559,1.14356280323007,0.571781401615033,0.571781401615033,0.0496018122234424
0,"ILB","Nick Kwiatkoski",2555288,5,0,1.18705062271693,1.06650541822812,0.213301083645624,0.213301083645624,0.213239963662269
0,"DB","Jordan Whitehead",2560930,3,0,1.17378587374544,1.10145875105216,0.367152917017386,0.367152917017386,0.238791627633144
0,"MLB","Adarius Taylor",2550565,11,0,1.14528262599995,0.880083176124558,0.0800075614658689,0.0800075614658689,0.324376004587016
0,"SS","Michael Thomas",2535687,8,0,1.14260586133028,0.949733534148176,0.118716691768522,0.118716691768522,-0.0651272865506503
0,"SS","Bradley McDougald",2539243,12,0,1.14028315006389,0.850974659290737,0.0709145549408948,0.0709145549408948,-0.036633230703604
0,"CB","Tony McRae",2556817,4,0,1.13716236552719,1.04072620193614,0.260181550484035,0.260181550484035,0.544203078372058
0,"LB","Oren Burks",2560984,4,0,1.08916194250037,0.992725778909318,0.24818144472733,0.24818144472733,0.483557095046687
0,"CB","Davon House",2495170,2,0,1.08803885868518,1.03982077688966,0.519910388444829,0.519910388444829,0.069654663372525
0,"ILB","Ramik Wilson",2552320,4,0,1.08680792636128,0.990371762770226,0.247592940692556,0.247592940692556,0.0359054250849947
0,"FS","Jermaine Whitehead",2552697,7,0,1.08400209404436,0.915238807760025,0.130748401108575,0.130748401108575,0.147139047848789
0,"SS","Adrian Phillips",2550842,7,0,1.05748996029945,0.888726674015116,0.126960953430731,0.126960953430731,0.410524796197166
0,"LB","Foye Oluokun",2561132,17,0,1.03560308022271,0.625749384960749,0.0368087873506323,0.0368087873506323,0.0954760001305289
0,"ILB","Benardrick McKinney",2552490,13,0,1.00346630365368,0.690048771982769,0.0530806747679053,0.0530806747679053,0.141966787779564
0,"ILB","Matthew Adams",2561149,5,0,0.988333614751368,0.867788410262555,0.173557682052511,0.173557682052511,0.118054502454084
0,"LB","Nick DeLuca",2561042,2,0,0.975911264748553,0.927693182953028,0.463846591476514,0.463846591476514,0.726619335859882
