"position","displayName","nflId_def","eps_tot_sos_adj","eps_zone_sos_adj","eps_man_sos_adj","eps_zone_closing_sos_adj","eps_zone_ball_skills_sos_adj","eps_zone_tackling_sos_adj","eps_man_tracking_sos_adj","eps_man_closing_sos_adj","eps_man_ball_skills_sos_adj","eps_man_tackling_sos_adj","expected_eps_tot","expected_eps_zone","expected_eps_man","man_tracking_expected_eps","expected_closing_eps_zone","expected_closing_eps_man","expected_ball_skills_eps_zone","expected_ball_skills_eps_man","expected_tackling_eps_zone","expected_tackling_eps_man"
"OLB","Neville Hewitt",2553657,-1.78456795529515,0.644070048150928,-2.42863800344608,-1.0314444579386,3.73119195339327,-1.15089501348035,-0.647941879998947,0.306954187679174,-2.13048811866673,0.168331792987207,-1.13672439058755,-0.687954309740016,-0.448770080847531,0.0199194246777867,-0.0770608458447102,-0.306954187679174,-0.743765290591403,-0.278510865858901,0.132871826696097,0.116775548012758
"CB","Dexter McDougle",2543608,-1.78637592247193,-0.670505926261389,-1.11586999621054,-0.0274361700765082,-0.0343800912617071,-0.220925764713146,0.0128252015207245,0.08788101443303,-1.35340957724255,0.265545145023672,-0.317813572696863,-0.0663062327610094,-0.251507339935853,-0.162860411085822,0,-0.115317184509538,-0.023531635526096,0.235847049943198,-0.0427745972349134,-0.209176794283691
"DB","Tarvarius Moore",2561117,-1.84444042924828,-3.3546235395359,1.51018311028762,-0.592351542831916,-0.407393456672566,-1.89171610366945,-0.0998462267868219,-0.297058938332758,-1.29161194121705,3.39820347553965,-2.63563158273449,-1.21812542796873,-1.41750615476576,-0.252156273451039,-0.26669850483707,-0.561991109336228,-1.09633104948101,-0.671085837045868,0.144904126349356,0.0677270650673715
"CB","Charvarius Ward",2561417,-1.8816520575558,-0.903471427538586,-0.978180630017217,-0.315089575683043,0.126084291012095,-0.509812973312349,-0.470725323520628,-0.441476802118096,1.57493031398548,-1.4800190934322,-1.32717031915409,-1.59346885222354,0.266298533069458,0.34161084566585,-0.423684170823937,-0.297296944388884,-1.07535026775021,0.33398776343195,-0.0944344136493955,-0.112003131639458
"CB","Darryl Roberts",2553353,-1.91272453478883,-2.2988703834246,0.386145848635771,2.49369087779091,-2.54882573342973,-0.0588032598149654,-3.31061121135536,2.98978696855408,-1.59130752358488,-0.461549266303274,-2.25338579714021,-0.47433670079152,-1.77904909634869,0.500822690673692,-0.190331424172075,-0.686427514935251,0.110619928794469,-1.06658387394321,-0.394625205413915,-0.526860398143927
"CB","Taron Johnson",2560766,-1.95721328116526,1.02976934269663,-2.98698262386189,0.479375866402821,0.61249518014514,1.27352950798321,-7.88088804041801,0.562472180061945,6.34278792533097,-1.23161272087581,-1.65369245509572,-0.68015000860008,-0.973542446495638,0.028154419583917,-0.0487036627624138,-0.131799976421538,-0.229405606758406,-0.194714281978524,-0.40204073907926,-0.675182607679492
"CB","Adoree' Jackson",2558065,-1.99166520470741,-2.21362867045083,0.221963465743423,4.62053604427432,-4.91622839889557,-1.244910000644,-5.04956324840513,6.18087208900812,-2.78635455772903,0.254443533140535,-12.8519379414978,-3.6021170842226,-9.24982085727525,0.104498811435112,0.115691199412026,-1.44464484532177,-2.891149305956,-5.90119357309979,-0.826658977678626,-2.0084812502888
"ILB","Joe Thomas",2550262,-2.0339938546397,-2.06654419587682,0.0325503412371231,0.541558264143378,-0.667972304471667,-1.7031633276424,-0.353086448363191,0.338070159240726,0.0223008508117753,0.0413547520409894,-0.371111525824203,-0.403363135989338,0.0322516101651355,-0.0120860531067424,-0.17679889354737,0.0266892113552818,-0.203214617578348,0.00940899752004133,-0.023349624863621,0.00823945439655469
"LB","Duke Ejiofor",2560714,-2.03622601703017,-1.40591571692658,-0.630310300103597,0.01438083152028,-0.971877548296204,-0.373020463998702,-0.33223953429547,0.118968406548662,0.172082559544445,-0.579468348405329,-0.249948196722357,-0.219023567339063,-0.0309246293832936,-0.0384170283734273,0.101759468517909,-0.00282810651047317,-0.438760456779756,0.0731063266244522,0.117977420922784,-0.0627858211238453
"ILB","Vince Williams",2540221,-2.0428937356973,-1.02117166950522,-1.02172206619208,-0.293011119158265,2.74047802910646,-1.49750542005245,0.24263328390621,-0.265595841248144,-1.42723233397709,0.640847262036878,0.589287552104027,-0.212046660310329,0.801334212414356,0.0183702809579212,0.205072241655732,0.265595841248144,-0.632810649073451,0.492507765217405,0.21569174710739,0.0248603249908867
